T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
0.405006,5,128,21,17,7
0.405558,5,128,15,15,2
0.406088,5,128,21,17,7
0.406782,5,128,29,15,17
0.407318,5,128,22,22,5
0.407813,5,128,16,16,3
0.408309,5,128,13,8,8
0.408813,5,128,14,14,2
0.409301,5,128,22,4,2
0.409828,5,128,19,11,18
0.4104,5,128,30,16,19
0.410913,5,128,15,13,9
0.411439,5,128,20,17,5
0.411939,5,128,13,9,3
0.415235,5,128,30,14,3
0.416695,5,128,22,18,9
0.419959,5,128,20,9,19
0.421227,5,128,22,18,9
0.42367,5,128,16,14,10
0.424924,5,128,14,13,8
0.425779,5,128,22,18,9
0.426472,5,128,22,22,5
0.42711,5,128,14,10,4
0.427669,5,128,14,8,8
0.428942,5,128,21,7,4
0.430068,5,128,14,10,4
0.43067,5,128,21,13,20
0.432433,5,128,23,19,10
0.432993,5,128,14,10,4
0.433518,5,128,21,6,6
0.434034,5,128,14,13,8
0.434568,5,128,31,16,20
0.435096,5,128,31,16,20
0.435639,5,128,21,18,6
0.436171,5,128,31,15,4
0.436682,5,128,14,14,4
0.437331,5,128,21,13,20
0.43787,5,128,23,23,6
0.438416,5,128,14,10,4
0.438992,5,128,23,23,6
0.441738,5,128,21,7,4
0.442353,5,128,14,13,9
0.443866,5,128,21,9,20
0.444998,5,128,25,21,12
0.445981,5,128,24,6,5
0.451995,5,128,23,23,6
0.457767,5,128,14,13,10
0.45844,5,128,22,9,21
0.458949,5,128,21,18,6
0.460764,5,128,22,22,10
0.461511,5,128,23,14,22
0.462769,5,128,25,21,12
0.463763,5,128,23,14,22
0.466286,5,128,24,6,6
0.46746,5,128,23,10,22
0.469449,5,128,22,22,12
0.470604,5,128,17,15,12
0.471647,5,128,16,16,5
0.472027,5,128,22,8,5
0.472608,5,128,16,16,5
0.473142,5,128,23,10,22
0.473664,4,128,16,16,5
0.475168,4,128,18,12,20
0.476264,4,128,26,7,7
0.478598,4,128,15,11,6
0.479818,4,128,16,16,6
0.48111,4,128,15,11,6
0.481996,4,128,23,14,22
0.482963,4,128,22,18,8
0.483382,4,128,15,15,6
0.485445,4,128,18,12,22
0.487293,4,128,33,16,22
0.487878,4,128,26,26,9
0.488505,4,128,16,15,22
0.489157,4,128,16,15,22
0.48965,4,128,26,26,9
0.490201,4,128,18,12,22
0.490707,4,128,17,17,7
0.491248,4,128,33,16,22
0.491737,4,128,22,8,7
0.492269,4,128,33,17,8
0.492807,4,128,27,23,24
0.493576,4,128,23,8,7
0.494089,4,128,26,7,8
0.494613,4,128,27,23,24
0.496174,4,128,16,12,7
0.49669,4,128,23,18,8
0.498518,4,128,16,15,7
0.499052,4,128,23,18,8
0.499614,4,128,16,12,7
0.500371,4,128,19,17,24
0.501036,4,128,17,17,7
0.501921,4,128,17,17,7
0.504502,4,128,16,12,7
0.507058,4,128,19,17,24
