T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
608,3,104,9,5,8
609,3,104,7,7,17
610,3,104,9,1,12
611,3,104,10,6,17
612,3,104,11,4,17
613,3,104,13,7,9
614,3,104,10,5,17
615,3,104,11,5,18
616,3,104,7,7,13
617,3,104,10,6,9
618,3,104,7,4,15
619,3,104,9,1,15
620,3,104,9,3,15
621,3,104,10,9,10
622,3,104,10,4,8
623,3,104,7,7,8
624,4,104,8,6,1
625,4,104,12,4,9
626,4,104,9,9,9
627,4,104,8,2,0
628,4,104,12,8,9
629,4,104,6,6,1
630,4,104,9,7,0
631,4,104,8,8,9
632,4,104,11,7,1
633,4,104,10,6,9
634,4,104,2,2,10
635,4,104,9,9,10
636,4,104,9,5,1
637,4,104,10,6,8
638,4,104,9,4,10
639,4,104,9,3,1
640,4,104,10,4,1
641,4,104,10,5,11
642,4,104,9,9,9
643,4,104,10,4,2
644,4,104,13,10,0
645,4,104,10,2,1
646,4,104,11,7,10
647,4,104,10,8,9
648,4,104,10,10,11
649,4,104,8,8,1
650,4,104,10,5,10
651,4,104,10,2,8
652,4,104,12,9,0
653,4,104,14,8,9
654,4,104,13,7,10
655,4,104,8,7,10
656,4,104,13,9,9
657,4,104,8,5,9
658,4,104,11,6,11
659,4,104,10,2,1
660,4,104,13,9,11
661,4,104,11,11,12
662,4,104,11,2,2
663,4,104,11,10,1
664,4,104,11,8,12
665,4,104,11,2,10
666,4,104,10,4,10
667,4,104,9,4,1
668,4,104,8,8,1
669,4,104,9,9,2
670,4,104,10,6,0
671,4,104,10,5,2
672,4,104,11,6,9
673,4,104,11,5,10
674,4,104,10,3,10
675,4,104,7,1,10
676,4,104,7,6,1
677,4,104,11,10,11
678,4,104,3,3,11
679,4,104,11,9,10
680,4,104,11,9,10
681,4,104,11,9,1
682,4,104,11,7,11
683,4,104,12,8,12
684,4,104,12,5,2
685,4,104,11,9,11
686,4,104,11,4,1
687,4,104,14,10,13
688,4,104,13,9,11
689,4,104,11,3,2
690,4,104,14,10,11
691,4,104,15,9,10
692,4,104,13,5,12
693,4,104,11,9,11
694,4,104,9,6,11
695,4,104,11,4,11
696,4,104,14,8,12
697,4,104,14,10,12
698,4,104,15,9,13
699,4,104,10,9,1
700,4,104,11,5,11
701,4,104,11,4,2
702,4,104,15,11,14
703,4,104,11,3,2
704,4,104,12,10,2
705,4,104,10,10,12
706,4,104,12,6,2
707,4,104,14,11,2
708,4,104,8,5,1
709,4,104,12,9,12
710,4,104,11,4,2
711,4,104,10,7,12
712,4,104,11,8,3
713,4,104,11,4,3
714,4,104,12,7,11
715,4,104,13,7,3
716,4,104,13,11,2
717,4,104,12,12,13
718,4,104,11,5,2
719,4,104,8,4,3
720,4,104,12,6,3
721,4,104,16,10,11
722,4,104,12,6,12
723,4,104,12,7,2
724,4,104,12,10,13
725,4,104,12,5,3
726,4,104,11,8,3
727,4,104,15,11,13
728,4,104,9,7,2
729,4,104,12,8,14
730,4,104,14,7,11
731,4,104,4,4,13
732,4,104,12,8,13
733,4,104,12,8,11
734,4,104,13,9,14
